prompt_id,prompt_index,local_prompt_index,replicate_id,prompt,split,seed,seeds_per_prompt,seed_stride,model_id,num_inference_steps,guidance_scale,height,width,image_path,total_runtime_sec,status,clip_score,clip_model,hpsv2_score,hpsv2_version,imagereward_score,imagereward_model
p1001,1000,0,0,"oil painting of people in a meeting room, seated around a table, their faces illuminated by the glow of a presentation on a big tv screen, brushstrokes capturing the subtle play of light and shadow",top,1012345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_1/images/p1001__seed_1012345.png,15.38589,ok,41.316650390625,ViT-B-32/laion2b_s34b_b79k,0.287353515625,v2.1,1.352370262145996,ImageReward-v1.0
p1002,1001,1,0,"a digital fantasy humanoid ratfolk dressed like a rapper, wearing a cap and a fur coat, inspired by digital art, with vibrant colors, sleek modern textures, and a dynamic perspective, set in a misty ambiance with soft golden hour light, high resolution, photorealistic, sharp focus",top,1013345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_1/images/p1002__seed_1013345.png,14.0126,ok,36.70595932006836,ViT-B-32/laion2b_s34b_b79k,0.365234375,v2.1,1.7353187799453735,ImageReward-v1.0
p1003,1002,2,0,"Futuristic McDonald's in cyberpunk style with space station, droids, people, neon lights, and sleek architecture.",top,1014345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_1/images/p1003__seed_1014345.png,14.123195,ok,45.07848739624024,ViT-B-32/laion2b_s34b_b79k,0.317138671875,v2.1,1.6830360889434814,ImageReward-v1.0
p1004,1003,3,0,"a butterfly with exaggerated wings, vibrant colors, soft golden hour light, dreamy atmosphere, high resolution, anime key visual",top,1015345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_1/images/p1004__seed_1015345.png,14.220318,ok,35.36233901977539,ViT-B-32/laion2b_s34b_b79k,0.344970703125,v2.1,1.6224699020385742,ImageReward-v1.0
p1005,1004,4,0,"pixel art, closeup portrait of a shaggy cyberpunk entertainer, blond hair, pixelated holograms, dramatic pixel light, city background, sunset, dystopian setting, high contrast, sharp focus, neuromancer, henry dorsett case, 8-bit, retro futurism, low-res, vibrant color palette, digital art",top,1016345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_1/images/p1005__seed_1016345.png,14.316281,ok,43.940242767333984,ViT-B-32/laion2b_s34b_b79k,0.33544921875,v2.1,0.8570468425750732,ImageReward-v1.0
p1006,1005,5,0,"a pile of cash on a stone floor, anime key visual, vibrant color palette, dynamic shadows, exaggerated expressions, intricate details, sleek lines, dramatic chiaroscuro lighting, high resolution, sharp focus",top,1017345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_1/images/p1006__seed_1017345.png,14.369385,ok,43.49747848510742,ViT-B-32/laion2b_s34b_b79k,0.255126953125,v2.1,1.1820623874664307,ImageReward-v1.0
p1007,1006,6,0,"Highly detailed 3D model of several medieval ships ablaze, dark smoke columns ascending, fiery backdrop, stormy atmosphere, dark storm clouds overhead, fog, moody cinematic lighting, atmospheric, rich textures, high resolution, sharp focus, dramatic chiaroscuro, complementary colors, dynamic perspective, misty ambiance, serene mood, dark",top,1018345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_1/images/p1007__seed_1018345.png,14.401491,ok,38.9018440246582,ViT-B-32/laion2b_s34b_b79k,0.334228515625,v2.1,1.6774873733520508,ImageReward-v1.0
p1008,1007,7,0,"Turkish woman with a graceful cat, captured in a delicate pencil sketch, emphasizing soft lines, gentle shading, and intricate details, with a serene mood and high resolution.",top,1019345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_1/images/p1008__seed_1019345.png,14.435067,ok,37.40777206420898,ViT-B-32/laion2b_s34b_b79k,0.35009765625,v2.1,1.848535418510437,ImageReward-v1.0
p1009,1008,8,0,"a woman with a dog puppet and a cat puppet, in a vibrant anime style, with dynamic expressions, intricate details, and a richly textured background, under soft golden hour light, capturing a key visual for a captivating story",top,1020345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_1/images/p1009__seed_1020345.png,14.458325,ok,32.3259162902832,ViT-B-32/laion2b_s34b_b79k,0.334228515625,v2.1,0.5697363615036011,ImageReward-v1.0
p1010,1009,9,0,"Vibrant anime portrait of Ben Shapiro as a sigma male, gigachad, with medium black hair, Nordic crown, black luxurious suit, fantasy style, highly detailed, bright colors, expressive eyes.",top,1021345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_1/images/p1010__seed_1021345.png,14.464387,ok,44.17710113525391,ViT-B-32/laion2b_s34b_b79k,0.33056640625,v2.1,1.8385719060897827,ImageReward-v1.0
p1011,1010,10,0,"3D octane render, ancient celestial white and gold arch in center of cobblestone courtyard, hyperrealistic textures, soft golden hour light, volumetric lighting, cinematic shadows, high resolution, sharp focus",top,1022345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_1/images/p1011__seed_1022345.png,14.481781,ok,37.64332580566406,ViT-B-32/laion2b_s34b_b79k,0.344970703125,v2.1,1.4340410232543945,ImageReward-v1.0
p1012,1011,11,0,"A pixelated anthropomorphic wolf, adorned with intricate celestial patterns, bridges the earthly and cosmic realms in a low-res digital landscape with a vibrant color palette and ethereal glow.",top,1023345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_1/images/p1012__seed_1023345.png,14.464814,ok,40.953426361083984,ViT-B-32/laion2b_s34b_b79k,0.359619140625,v2.1,1.2328870296478271,ImageReward-v1.0
p1013,1012,12,0,"A highly detailed digital art depiction of a dog presenting an apple to a squirrel, with intricate textures and vibrant, lifelike colors.",top,1024345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_1/images/p1013__seed_1024345.png,14.494664,ok,46.16648864746094,ViT-B-32/laion2b_s34b_b79k,0.348388671875,v2.1,1.4719785451889038,ImageReward-v1.0
p1014,1013,13,0,"Manga-style 3/4 portrait of Dr. Albert Hofmann, with fractal molecules in the background. Cinematic scene, volumetric lighting, golden ratio composition. Hyper-detailed, sci-fi, fantasy elements.",top,1025345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_1/images/p1014__seed_1025345.png,14.480498,ok,38.65596008300781,ViT-B-32/laion2b_s34b_b79k,0.343505859375,v2.1,1.926339030265808,ImageReward-v1.0
p1015,1014,14,0,"Manga illustration of a figure holding floral sunglasses, surrounded by a vibrant, abstract landscape.",top,1026345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_1/images/p1015__seed_1026345.png,14.434166,ok,44.78443908691406,ViT-B-32/laion2b_s34b_b79k,0.3310546875,v2.1,0.6009873151779175,ImageReward-v1.0
p1016,1015,15,0,"A highly detailed anime scene of a wet, winding road with intricate water droplets, surrounded by lush tomato plants with rich textures, leading into a mysterious, fog-clad sky with an ethereal glow, exuding a serene mood.",top,1027345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_1/images/p1016__seed_1027345.png,14.416887,ok,43.3860969543457,ViT-B-32/laion2b_s34b_b79k,0.31689453125,v2.1,1.5826987028121948,ImageReward-v1.0
p1017,1016,16,0,"a luminous fantasy city within a cavern, sleek glass structures, graceful bridges, digital art, painterly style, cold blue hues, rain, moody night scene, soft golden hour light, ethereal glow, high resolution, detailed, trending on artstation",top,1028345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_1/images/p1017__seed_1028345.png,14.647923,ok,34.82661437988281,ViT-B-32/laion2b_s34b_b79k,0.305419921875,v2.1,1.5068795680999756,ImageReward-v1.0
