prompt_id,prompt_index,local_prompt_index,replicate_id,prompt,split,seed,seeds_per_prompt,seed_stride,model_id,num_inference_steps,guidance_scale,height,width,image_path,total_runtime_sec,status
p6001,6000,0,0,"a vibrant futuristic city at dusk, Ektachrome film, vivid colors, sharp contrasts, dynamic lighting, neon highlights, sleek modern architecture, bustling streets, photorealistic, high resolution, energetic atmosphere",bottom,6012345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_6/images/p6001__seed_6012345.png,14.848969,ok
p6002,6001,1,0,"a chinchilla as dhalsim from street fighter, captured in vivid, high-contrast Ektar film, 4k, ultra-realistic, detailed focus, with dramatic chiaroscuro lighting, dynamic perspective, and rich textures, by artgerm and greg rutkowski",bottom,6013345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_6/images/p6002__seed_6013345.png,14.128209,ok
p6003,6002,2,0,"danny devito as gimli, manga style, detailed linework, dynamic poses, expressive eyes, vibrant colors, soft golden hour light, high resolution, trending on pixiv",bottom,6014345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_6/images/p6003__seed_6014345.png,14.167352,ok
p6004,6003,3,0,"inside a narrow, rusted corridor of an abandoned USSR uboat, dark pixelated lighting with tiny, piercing light beams, 8-bit concept art, sharp and highly detailed, pixel art style, art station trending, sergii ivanchenko, monochromatic scheme, high resolution, dynamic perspective",bottom,6015345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_6/images/p6004__seed_6015345.png,14.545273,ok
p6005,6004,4,0,"Technical illustration: industrial sunset, four silhouetted figures, precise line work, detailed machinery, shadow play, soft golden hour light, rich textures, high resolution.",bottom,6016345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_6/images/p6005__seed_6016345.png,14.209007,ok
p6006,6005,5,0,"A striking advertisement featuring a sleek black tower, a vibrant blue droplet, and dynamic fluorescent splatters on a bold black background.",bottom,6017345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_6/images/p6006__seed_6017345.png,14.529216,ok
p6007,6006,6,0,"Three-quarters front view of a Philippines creature, high contrast, grainy shot, deep shadows, vintage film, dark background.",bottom,6018345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_6/images/p6007__seed_6018345.png,14.259354,ok
p6008,6007,7,0,"A volumetric heart made of rich, melted chocolate, with smooth, flowing surfaces, a glossy finish, and an ethereal glow, set in a soft golden hour light, with rich textures and a serene mood.",bottom,6019345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_6/images/p6008__seed_6019345.png,14.567902,ok
p6009,6008,8,0,"Photographic / CineStill 50D: powerful stylish sorcerer and cleric banishing darkness and abominations with a rainbow spell, cinematic lighting, deep shadows, vibrant colors, high contrast, sharp focus, 8k resolution, unreal engine. art by artgerm and greg rutkowski.",bottom,6020345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_6/images/p6009__seed_6020345.png,14.302147,ok
p6010,6009,9,0,"A fantasy city made of cake, glowing with rich, magical colors, detailed in a hyper-realistic style, surrounded by luminous, ethereal mist, with volumetric light casting dramatic shadows, 8k ultra-detailed, cinematic 4k wallpaper, trending on ArtStation.",bottom,6021345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_6/images/p6010__seed_6021345.png,14.491613,ok
