prompt_id,prompt_index,local_prompt_index,replicate_id,prompt,split,seed,seeds_per_prompt,seed_stride,model_id,num_inference_steps,guidance_scale,height,width,image_path,total_runtime_sec,status,clip_score,clip_model,hpsv2_score,hpsv2_version,imagereward_score,imagereward_model
p6001,6000,0,2,"a vibrant futuristic city at dusk, Ektachrome film, vivid colors, sharp contrasts, dynamic lighting, neon highlights, sleek modern architecture, bustling streets, photorealistic, high resolution, energetic atmosphere",bottom,6012347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_6/images/p6001__seed_6012347.png,14.897684,ok,36.02894592285156,ViT-B-32/laion2b_s34b_b79k,0.29736328125,v2.1,1.4623647928237915,ImageReward-v1.0
p6002,6001,1,2,"a chinchilla as dhalsim from street fighter, captured in vivid, high-contrast Ektar film, 4k, ultra-realistic, detailed focus, with dramatic chiaroscuro lighting, dynamic perspective, and rich textures, by artgerm and greg rutkowski",bottom,6013347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_6/images/p6002__seed_6013347.png,14.432497,ok,16.66926383972168,ViT-B-32/laion2b_s34b_b79k,0.282958984375,v2.1,1.1538974046707153,ImageReward-v1.0
p6003,6002,2,2,"danny devito as gimli, manga style, detailed linework, dynamic poses, expressive eyes, vibrant colors, soft golden hour light, high resolution, trending on pixiv",bottom,6014347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_6/images/p6003__seed_6014347.png,14.469318,ok,29.000961303710938,ViT-B-32/laion2b_s34b_b79k,0.283203125,v2.1,1.8023680448532104,ImageReward-v1.0
p6004,6003,3,2,"inside a narrow, rusted corridor of an abandoned USSR uboat, dark pixelated lighting with tiny, piercing light beams, 8-bit concept art, sharp and highly detailed, pixel art style, art station trending, sergii ivanchenko, monochromatic scheme, high resolution, dynamic perspective",bottom,6015347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_6/images/p6004__seed_6015347.png,14.514349,ok,37.42028427124024,ViT-B-32/laion2b_s34b_b79k,0.287841796875,v2.1,0.03266169875860214,ImageReward-v1.0
p6005,6004,4,2,"Technical illustration: industrial sunset, four silhouetted figures, precise line work, detailed machinery, shadow play, soft golden hour light, rich textures, high resolution.",bottom,6016347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_6/images/p6005__seed_6016347.png,14.560599,ok,36.95157623291016,ViT-B-32/laion2b_s34b_b79k,0.3173828125,v2.1,1.6546553373336792,ImageReward-v1.0
p6006,6005,5,2,"A striking advertisement featuring a sleek black tower, a vibrant blue droplet, and dynamic fluorescent splatters on a bold black background.",bottom,6017347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_6/images/p6006__seed_6017347.png,14.621753,ok,37.966064453125,ViT-B-32/laion2b_s34b_b79k,0.2490234375,v2.1,0.4111359119415283,ImageReward-v1.0
p6007,6006,6,2,"Three-quarters front view of a Philippines creature, high contrast, grainy shot, deep shadows, vintage film, dark background.",bottom,6018347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_6/images/p6007__seed_6018347.png,15.059912,ok,30.794078826904297,ViT-B-32/laion2b_s34b_b79k,0.2646484375,v2.1,1.2224465608596802,ImageReward-v1.0
p6008,6007,7,2,"A volumetric heart made of rich, melted chocolate, with smooth, flowing surfaces, a glossy finish, and an ethereal glow, set in a soft golden hour light, with rich textures and a serene mood.",bottom,6019347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_6/images/p6008__seed_6019347.png,14.706035,ok,38.39738845825195,ViT-B-32/laion2b_s34b_b79k,0.31640625,v2.1,0.01327170804142952,ImageReward-v1.0
p6009,6008,8,2,"Photographic / CineStill 50D: powerful stylish sorcerer and cleric banishing darkness and abominations with a rainbow spell, cinematic lighting, deep shadows, vibrant colors, high contrast, sharp focus, 8k resolution, unreal engine. art by artgerm and greg rutkowski.",bottom,6020347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_6/images/p6009__seed_6020347.png,14.735471,ok,38.20492172241211,ViT-B-32/laion2b_s34b_b79k,0.299072265625,v2.1,1.7092715501785278,ImageReward-v1.0
p6010,6009,9,2,"A fantasy city made of cake, glowing with rich, magical colors, detailed in a hyper-realistic style, surrounded by luminous, ethereal mist, with volumetric light casting dramatic shadows, 8k ultra-detailed, cinematic 4k wallpaper, trending on ArtStation.",bottom,6021347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_6/images/p6010__seed_6021347.png,14.73235,ok,34.22239303588867,ViT-B-32/laion2b_s34b_b79k,0.322998046875,v2.1,1.2916902303695679,ImageReward-v1.0
