prompt_id,prompt_index,local_prompt_index,replicate_id,prompt,split,seed,seeds_per_prompt,seed_stride,model_id,num_inference_steps,guidance_scale,height,width,image_path,total_runtime_sec,status
p4001,4000,0,1,"volumetric 3D render of medieval knights, hyperdetailed full-body designs, intricate armor textures, dramatic chiaroscuro lighting, cinematic angles, concept art by senior character artist, trending on ArtStation, high resolution, photorealistic, sharp focus",bottom,4012346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_4/images/p4001__seed_4012346.png,14.270142,ok
p4002,4001,1,1,"animated metaverse art gallery reception, vibrant digital colors, dynamic character interactions, stylized backgrounds, fluid motion, exaggerated expressions, soft golden hour light, dynamic perspective, rich textures, energetic atmosphere, high resolution",bottom,4013346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_4/images/p4002__seed_4013346.png,14.087471,ok
p4003,4002,2,1,"starry night, hyper-realistic 3D, octane render, high detail, vibrant colors, smooth lighting, ethereal glow, dynamic perspective, sharp focus, serenely atmospheric",bottom,4014346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_4/images/p4003__seed_4014346.png,14.164274,ok
p4004,4003,3,1,"Retro futuristic combat walker leaps over rift, moody atmosphere, detailed textures, Unreal Engine 5.",bottom,4015346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_4/images/p4004__seed_4015346.png,14.722049,ok
p4005,4004,4,1,"Times Square, grainy shot, dogs sprinting, neon lights, urban chaos.",bottom,4016346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_4/images/p4005__seed_4016346.png,14.36604,ok
p4006,4005,5,1,"lost in a vast, disorienting world, captured in a grainy, high-contrast black-and-white photograph with dramatic chiaroscuro and a sense of isolation, framed with a dynamic perspective",bottom,4017346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_4/images/p4006__seed_4017346.png,14.579807,ok
p4007,4006,6,1,"A sleek shoe with smooth lines and bold, flat colors.",bottom,4018346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_4/images/p4007__seed_4018346.png,14.673431,ok
p4008,4007,7,1,"gravity, cutout animation, flat vibrant colors, bold black outlines, playful geometric shapes, dynamic angled compositions, whimsical cast shadows, simple minimalist backgrounds, high-contrast vibrant palette",bottom,4019346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_4/images/p4008__seed_4019346.png,14.70441,ok
p4009,4008,8,1,"tabletop game board, fantasy scene, intricate, detailed, gouache painting, smooth, vibrant colors, front view, rich textures, delicate brushstrokes",bottom,4020346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_4/images/p4009__seed_4020346.png,14.655939,ok
p4010,4009,9,1,"8-bit protein, pixel art, vibrant colors, retro gaming",bottom,4021346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_4/images/p4010__seed_4021346.png,14.594,ok
p4011,4010,10,1,"whimsical garden trellis, photographic portrait, soft golden hour light, delicate shadows, vibrant flora, intricate details, serene atmosphere, high resolution, sharp focus",bottom,4022346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_4/images/p4011__seed_4022346.png,14.72291,ok
p4012,4011,11,1,"detailed anime portrait of dark sansa monster, intricate design, elegant lines, digital painting, sharp focus, smooth shading, concept art",bottom,4023346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_4/images/p4012__seed_4023346.png,14.509878,ok
p4013,4012,12,1,"Johan Liebert and Alucard in a fantasy style, with long, flowing golden hair, dynamic poses, intricate details, glowing matte painting, elegant and mystical, heavy build with a mystical aura, infused with golden light and magical elements.",bottom,4024346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_4/images/p4013__seed_4024346.png,14.495565,ok
p4014,4013,13,1,"a 3D model of a robot, volumetric, smooth surfaces, intricate mechanical details, glowing highlights, shadow play, depth and dimensionality",bottom,4025346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_4/images/p4014__seed_4025346.png,14.610213,ok
p4015,4014,14,1,"Anime key visual: masked figure with a mysterious symbol, ultra-detailed, vibrant color palette, dynamic composition, ethereal glow, high resolution, digital art, artstation",bottom,4026346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_4/images/p4015__seed_4026346.png,14.490379,ok
p4016,4015,15,1,"3D model of the Greek goddess Hera, highly detailed, looking furious, intricate rusty armor, close-up portrait, hyper-realistic texture, dramatic chiaroscuro lighting, rich textures, high resolution",bottom,4027346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_4/images/p4016__seed_4027346.png,14.47237,ok
p4017,4016,16,1,"Detailed anatomical illustration of Cthulhu, trending on Artstation.",bottom,4028346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_4/images/p4017__seed_4028346.png,14.710986,ok
p4018,4017,17,1,"desolation row, manga style, detailed, ultra wide angle, zenith view, pincushion lens effect, 8k, vibrant colors, dynamic shading, intricate linework",bottom,4029346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_4/images/p4018__seed_4029346.png,14.724699,ok
p4019,4018,18,1,"A celestial golden cake, adorned with shimmering caramel, celestial ice cream, and ethereal whipped cream, rests on a starry black plate, crowned with a sprig of luminous mint.",bottom,4030346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_4/images/p4019__seed_4030346.png,14.489394,ok
