prompt_id,prompt_index,local_prompt_index,replicate_id,prompt,split,seed,seeds_per_prompt,seed_stride,model_id,num_inference_steps,guidance_scale,height,width,image_path,total_runtime_sec,status,clip_score,clip_model,hpsv2_score,hpsv2_version,imagereward_score,imagereward_model
p3001,3000,0,1,"Illustration of New York City skyline with intricate lines and shading, showcasing iconic buildings and busy streets.",top,3012346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_3/images/p3001__seed_3012346.png,14.480512,ok,27.25086784362793,ViT-B-32/laion2b_s34b_b79k,0.289794921875,v2.1,0.3059699237346649,ImageReward-v1.0
p3002,3001,1,1,"Toothless, a playful claymation dragon, exploring a whimsical world.",top,3013346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_3/images/p3002__seed_3013346.png,14.17801,ok,36.2440071105957,ViT-B-32/laion2b_s34b_b79k,0.353759765625,v2.1,1.8982921838760376,ImageReward-v1.0
p3003,3002,2,1,A pixelated autumn tree on a yellow field under a blue sky.,top,3014346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_3/images/p3003__seed_3014346.png,14.248819,ok,38.22361755371094,ViT-B-32/laion2b_s34b_b79k,0.3369140625,v2.1,1.8487296104431152,ImageReward-v1.0
p3004,3003,3,1,"A weathered Star Wars helmet and armor set, bathed in the vibrant neon glow of a futuristic city, with intricate details and a mysterious, dark atmosphere.",top,3015346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_3/images/p3004__seed_3015346.png,14.340722,ok,35.225440979003906,ViT-B-32/laion2b_s34b_b79k,0.28076171875,v2.1,0.26809632778167725,ImageReward-v1.0
p3005,3004,4,1,"Vibrant anime sunrise over Austin's bustling downtown, with colorful neon lights casting soft glows, dynamic cityscape, and high-resolution details.",top,3016346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_3/images/p3005__seed_3016346.png,14.396338,ok,37.43196868896485,ViT-B-32/laion2b_s34b_b79k,0.296142578125,v2.1,1.482442021369934,ImageReward-v1.0
p3006,3005,5,1,"Cinematic moody: A lone figure stands under a dim streetlight in a misty, rain-soaked alley, the light casting long shadows and reflecting off the wet cobblestones, captured in a high-contrast, grainy film style.",top,3017346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_3/images/p3006__seed_3017346.png,14.4347,ok,39.204010009765625,ViT-B-32/laion2b_s34b_b79k,0.252197265625,v2.1,1.726253867149353,ImageReward-v1.0
p3007,3006,6,1,"Shanghai by Neon Light, cinematic, grainy, dreamy, neon-lit streets, rain-soaked, bustling, 8k, concept art, trending on ArtStation",top,3018346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_3/images/p3007__seed_3018346.png,14.472042,ok,37.93899917602539,ViT-B-32/laion2b_s34b_b79k,0.294677734375,v2.1,1.6912121772766113,ImageReward-v1.0
p3008,3007,7,1,"cinematic, grainy, sarah shahi from last of us, intricate, elegant, highly detailed, digital painting, smooth, sharp focus, illustration, art by artgerm and greg rutkowski, film noir lighting, textured grain, dynamic shadows",top,3019346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_3/images/p3008__seed_3019346.png,14.474762,ok,36.50386047363281,ViT-B-32/laion2b_s34b_b79k,0.268310546875,v2.1,1.2689696550369263,ImageReward-v1.0
p3009,3008,8,1,"mature Toothless with cybernetic enhancements, neon-lit streets, vibrant glow, cinematic angles, futuristic cityscape, ethereal glow, high resolution, blender render, unreal engine",top,3020346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_3/images/p3009__seed_3020346.png,14.511231,ok,37.19572067260742,ViT-B-32/laion2b_s34b_b79k,0.33154296875,v2.1,1.9290618896484375,ImageReward-v1.0
p3010,3009,9,1,"elon musk as iron man, smiling, anime key visual, vibrant color palette, dynamic pose, sharp lines, detailed mechanical suit, cinematic lighting, dramatic shadows, smooth gradients, anime-style eyes, high resolution, photorealistic, digital illustration",top,3021346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_3/images/p3010__seed_3021346.png,14.463842,ok,41.83154678344727,ViT-B-32/laion2b_s34b_b79k,0.349365234375,v2.1,1.844002604484558,ImageReward-v1.0
