prompt_id,prompt_index,local_prompt_index,replicate_id,prompt,split,seed,seeds_per_prompt,seed_stride,model_id,num_inference_steps,guidance_scale,height,width,image_path,total_runtime_sec,status
p4001,4000,0,2,"volumetric 3D render of medieval knights, hyperdetailed full-body designs, intricate armor textures, dramatic chiaroscuro lighting, cinematic angles, concept art by senior character artist, trending on ArtStation, high resolution, photorealistic, sharp focus",bottom,4012347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_4/images/p4001__seed_4012347.png,14.265376,ok
p4002,4001,1,2,"animated metaverse art gallery reception, vibrant digital colors, dynamic character interactions, stylized backgrounds, fluid motion, exaggerated expressions, soft golden hour light, dynamic perspective, rich textures, energetic atmosphere, high resolution",bottom,4013347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_4/images/p4002__seed_4013347.png,14.211083,ok
p4003,4002,2,2,"starry night, hyper-realistic 3D, octane render, high detail, vibrant colors, smooth lighting, ethereal glow, dynamic perspective, sharp focus, serenely atmospheric",bottom,4014347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_4/images/p4003__seed_4014347.png,14.174763,ok
p4004,4003,3,2,"Retro futuristic combat walker leaps over rift, moody atmosphere, detailed textures, Unreal Engine 5.",bottom,4015347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_4/images/p4004__seed_4015347.png,14.412514,ok
p4005,4004,4,2,"Times Square, grainy shot, dogs sprinting, neon lights, urban chaos.",bottom,4016347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_4/images/p4005__seed_4016347.png,14.313432,ok
p4006,4005,5,2,"lost in a vast, disorienting world, captured in a grainy, high-contrast black-and-white photograph with dramatic chiaroscuro and a sense of isolation, framed with a dynamic perspective",bottom,4017347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_4/images/p4006__seed_4017347.png,14.457278,ok
p4007,4006,6,2,"A sleek shoe with smooth lines and bold, flat colors.",bottom,4018347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_4/images/p4007__seed_4018347.png,14.353466,ok
p4008,4007,7,2,"gravity, cutout animation, flat vibrant colors, bold black outlines, playful geometric shapes, dynamic angled compositions, whimsical cast shadows, simple minimalist backgrounds, high-contrast vibrant palette",bottom,4019347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_4/images/p4008__seed_4019347.png,14.36036,ok
p4009,4008,8,2,"tabletop game board, fantasy scene, intricate, detailed, gouache painting, smooth, vibrant colors, front view, rich textures, delicate brushstrokes",bottom,4020347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_4/images/p4009__seed_4020347.png,14.377404,ok
p4010,4009,9,2,"8-bit protein, pixel art, vibrant colors, retro gaming",bottom,4021347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_4/images/p4010__seed_4021347.png,14.387149,ok
p4011,4010,10,2,"whimsical garden trellis, photographic portrait, soft golden hour light, delicate shadows, vibrant flora, intricate details, serene atmosphere, high resolution, sharp focus",bottom,4022347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_4/images/p4011__seed_4022347.png,14.68477,ok
p4012,4011,11,2,"detailed anime portrait of dark sansa monster, intricate design, elegant lines, digital painting, sharp focus, smooth shading, concept art",bottom,4023347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_4/images/p4012__seed_4023347.png,14.438534,ok
p4013,4012,12,2,"Johan Liebert and Alucard in a fantasy style, with long, flowing golden hair, dynamic poses, intricate details, glowing matte painting, elegant and mystical, heavy build with a mystical aura, infused with golden light and magical elements.",bottom,4024347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_4/images/p4013__seed_4024347.png,14.423635,ok
