prompt_id,prompt_index,local_prompt_index,replicate_id,prompt,split,seed,seeds_per_prompt,seed_stride,model_id,num_inference_steps,guidance_scale,height,width,image_path,total_runtime_sec,status,clip_score,clip_model,hpsv2_score,hpsv2_version,imagereward_score,imagereward_model
p4001,4000,0,4,"volumetric 3D render of medieval knights, hyperdetailed full-body designs, intricate armor textures, dramatic chiaroscuro lighting, cinematic angles, concept art by senior character artist, trending on ArtStation, high resolution, photorealistic, sharp focus",bottom,4012349,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_5thseed/chunk_4/images/p4001__seed_4012349.png,14.575719,ok,31.758869171142575,ViT-B-32/laion2b_s34b_b79k,0.323486328125,v2.1,0.7835959792137146,ImageReward-v1.0
p4002,4001,1,4,"animated metaverse art gallery reception, vibrant digital colors, dynamic character interactions, stylized backgrounds, fluid motion, exaggerated expressions, soft golden hour light, dynamic perspective, rich textures, energetic atmosphere, high resolution",bottom,4013349,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_5thseed/chunk_4/images/p4002__seed_4013349.png,14.039211,ok,29.044008255004883,ViT-B-32/laion2b_s34b_b79k,0.277587890625,v2.1,0.6076760292053223,ImageReward-v1.0
p4003,4002,2,4,"starry night, hyper-realistic 3D, octane render, high detail, vibrant colors, smooth lighting, ethereal glow, dynamic perspective, sharp focus, serenely atmospheric",bottom,4014349,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_5thseed/chunk_4/images/p4003__seed_4014349.png,14.122374,ok,31.669170379638672,ViT-B-32/laion2b_s34b_b79k,0.2425537109375,v2.1,0.3311637341976166,ImageReward-v1.0
p4004,4003,3,4,"Retro futuristic combat walker leaps over rift, moody atmosphere, detailed textures, Unreal Engine 5.",bottom,4015349,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_5thseed/chunk_4/images/p4004__seed_4015349.png,14.230394,ok,36.5654411315918,ViT-B-32/laion2b_s34b_b79k,0.29736328125,v2.1,0.705785870552063,ImageReward-v1.0
p4005,4004,4,4,"Times Square, grainy shot, dogs sprinting, neon lights, urban chaos.",bottom,4016349,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_5thseed/chunk_4/images/p4005__seed_4016349.png,14.29858,ok,34.643646240234375,ViT-B-32/laion2b_s34b_b79k,0.30419921875,v2.1,1.7621668577194214,ImageReward-v1.0
p4006,4005,5,4,"lost in a vast, disorienting world, captured in a grainy, high-contrast black-and-white photograph with dramatic chiaroscuro and a sense of isolation, framed with a dynamic perspective",bottom,4017349,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_5thseed/chunk_4/images/p4006__seed_4017349.png,14.334771,ok,33.70246124267578,ViT-B-32/laion2b_s34b_b79k,0.227294921875,v2.1,0.5972036123275757,ImageReward-v1.0
p4007,4006,6,4,"A sleek shoe with smooth lines and bold, flat colors.",bottom,4018349,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_5thseed/chunk_4/images/p4007__seed_4018349.png,14.377105,ok,26.8895320892334,ViT-B-32/laion2b_s34b_b79k,0.2071533203125,v2.1,-1.5461736917495728,ImageReward-v1.0
p4008,4007,7,4,"gravity, cutout animation, flat vibrant colors, bold black outlines, playful geometric shapes, dynamic angled compositions, whimsical cast shadows, simple minimalist backgrounds, high-contrast vibrant palette",bottom,4019349,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_5thseed/chunk_4/images/p4008__seed_4019349.png,14.410024,ok,33.1568603515625,ViT-B-32/laion2b_s34b_b79k,0.2364501953125,v2.1,-0.3353613018989563,ImageReward-v1.0
p4009,4008,8,4,"tabletop game board, fantasy scene, intricate, detailed, gouache painting, smooth, vibrant colors, front view, rich textures, delicate brushstrokes",bottom,4020349,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_5thseed/chunk_4/images/p4009__seed_4020349.png,14.433121,ok,37.81820297241211,ViT-B-32/laion2b_s34b_b79k,0.2279052734375,v2.1,0.3604086935520172,ImageReward-v1.0
p4010,4009,9,4,"8-bit protein, pixel art, vibrant colors, retro gaming",bottom,4021349,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_5thseed/chunk_4/images/p4010__seed_4021349.png,14.426837,ok,38.9326286315918,ViT-B-32/laion2b_s34b_b79k,0.2734375,v2.1,0.7349437475204468,ImageReward-v1.0
p4011,4010,10,4,"whimsical garden trellis, photographic portrait, soft golden hour light, delicate shadows, vibrant flora, intricate details, serene atmosphere, high resolution, sharp focus",bottom,4022349,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_5thseed/chunk_4/images/p4011__seed_4022349.png,14.435074,ok,33.73562240600586,ViT-B-32/laion2b_s34b_b79k,0.333740234375,v2.1,1.1825815439224243,ImageReward-v1.0
p4012,4011,11,4,"detailed anime portrait of dark sansa monster, intricate design, elegant lines, digital painting, sharp focus, smooth shading, concept art",bottom,4023349,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_5thseed/chunk_4/images/p4012__seed_4023349.png,14.436528,ok,32.28882598876953,ViT-B-32/laion2b_s34b_b79k,0.31103515625,v2.1,-0.46596938371658325,ImageReward-v1.0
